"name","name_ascii","type","county_fips","state_id","state_name","lat","lng","population"
"Zuehl","Zuehl","City","48187","TX","Texas","29.496","-98.1535","375"
"Zephyr","Zephyr","City","48049","TX","Texas","31.6791","-98.7911","198"
"Zavalla","Zavalla","City","48005","TX","Texas","31.1584","-94.418","690"
"Zarate","Zarate","City","48427","TX","Texas","26.3199","-98.6369","0"
"Zapata Ranch","Zapata Ranch","City","48489","TX","Texas","26.357","-97.8243","225"
"Zapata","Zapata","City","48505","TX","Texas","26.9026","-99.2612","4928"
"Yznaga","Yznaga","City","48061","TX","Texas","26.3188","-97.8153","78"
"Yorktown","Yorktown","City","48123","TX","Texas","28.9828","-97.5051","2223"
"Yoakum","Yoakum","City","48285","TX","Texas","29.2934","-97.1468","5815"
"Yantis","Yantis","City","48499","TX","Texas","32.9305","-95.5761","333"
"Yancey","Yancey","City","48325","TX","Texas","29.1442","-99.1438","384"
"Wylie","Wylie","City","48085","TX","Texas","33.0362","-96.5161","55426"
"Wyldwood","Wyldwood","City","48021","TX","Texas","30.1299","-97.48","3718"
"Wortham","Wortham","City","48161","TX","Texas","31.7897","-96.461","1438"
"Woodway","Woodway","City","48309","TX","Texas","31.4988","-97.2314","9310"
"Woodville","Woodville","City","48457","TX","Texas","30.774","-94.4234","2870"
"Woodson","Woodson","City","48447","TX","Texas","33.0149","-99.0534","359"
"Woodsboro","Woodsboro","City","48391","TX","Texas","28.2379","-97.3254","1435"
"Woodloch","Woodloch","City","48339","TX","Texas","30.2173","-95.4132","85"
"Woodcreek","Woodcreek","City","48209","TX","Texas","30.0266","-98.1115","2279"
"Woodbranch","Woodbranch","City","48339","TX","Texas","30.1813","-95.1836","1628"
"Wolfforth","Wolfforth","City","48303","TX","Texas","33.5147","-102.0067","5432"
"Wolfe City","Wolfe City","City","48231","TX","Texas","33.3686","-96.072","1269"
"Wixon Valley","Wixon Valley","City","48041","TX","Texas","30.7639","-96.3193","211"
"Winters","Winters","City","48399","TX","Texas","31.9564","-99.9292","2565"
"Winona","Winona","City","48423","TX","Texas","32.4928","-95.173","535"
"Winnsboro","Winnsboro","City","48499","TX","Texas","32.9557","-95.2909","3354"
"Winnie","Winnie","City","48071","TX","Texas","29.8167","-94.3807","2366"
"Wink","Wink","City","48495","TX","Texas","31.7545","-103.1541","1031"
"Wingate","Wingate","City","48399","TX","Texas","32.0455","-100.104","113"
"Winfield","Winfield","City","48449","TX","Texas","33.1656","-95.1104","512"
"Windthorst","Windthorst","City","48009","TX","Texas","33.576","-98.4348","336"
"Windom","Windom","City","48147","TX","Texas","33.5648","-95.9985","130"
"Windcrest","Windcrest","City","48029","TX","Texas","29.515","-98.3818","5830"
"Wimberley","Wimberley","City","48209","TX","Texas","29.9848","-98.0906","2837"
"Wilson","Wilson","City","48305","TX","Texas","33.3192","-101.7274","377"
"Wilmer","Wilmer","City","48113","TX","Texas","32.5983","-96.6815","5064"
"Wills Point","Wills Point","City","48467","TX","Texas","32.7093","-96.0052","3724"
"Willow Park","Willow Park","City","48367","TX","Texas","32.7548","-97.6498","4815"
"Willow Grove","Willow Grove","City","48309","TX","Texas","31.5591","-97.296","2231"
"Willis","Willis","City","48339","TX","Texas","30.4314","-95.4831","6410"
"Wildwood","Wildwood","City","48199","TX","Texas","30.5256","-94.4456","732"
"Wildorado","Wildorado","City","48359","TX","Texas","35.2091","-102.2055","150"
"Wild Peach Village","Wild Peach Village","City","48039","TX","Texas","29.081","-95.6372","2134"
"Wickett","Wickett","City","48475","TX","Texas","31.5673","-103.006","657"
"Wichita Falls","Wichita Falls","City","48485","TX","Texas","33.9072","-98.5291","102563"
"Whitney","Whitney","City","48217","TX","Texas","31.952","-97.3192","2097"
"Whitharral","Whitharral","City","48219","TX","Texas","33.7391","-102.3278","73"
"Whitewright","Whitewright","City","48181","TX","Texas","33.5108","-96.3956","1623"
"Whitesboro","Whitesboro","City","48181","TX","Texas","33.6612","-96.9022","4054"
"Whitehouse","Whitehouse","City","48423","TX","Texas","32.2222","-95.221","8316"
"Whiteface","Whiteface","City","48079","TX","Texas","33.5996","-102.6134","384"
"White Settlement","White Settlement","City","48439","TX","Texas","32.7554","-97.4605","18040"
"White Oak","White Oak","City","48183","TX","Texas","32.5312","-94.8564","6214"
"White Deer","White Deer","City","48065","TX","Texas","35.4332","-101.1751","918"
"Wheeler","Wheeler","City","48483","TX","Texas","35.4411","-100.2752","1425"
"Wharton","Wharton","City","48481","TX","Texas","29.3177","-96.1022","8595"
"Westworth Village","Westworth Village","City","48439","TX","Texas","32.7599","-97.4239","2590"
"Westwood Shores","Westwood Shores","City","48455","TX","Texas","30.9376","-95.3254","1455"
"Westway","Westway","City","48141","TX","Texas","31.9603","-106.576","3726"
"Westover Hills","Westover Hills","City","48439","TX","Texas","32.7437","-97.4123","804"
"Weston Lakes","Weston Lakes","City","48157","TX","Texas","29.6627","-95.9352","3763"
"Weston","Weston","City","48085","TX","Texas","33.33","-96.6676","253"
"Westminster","Westminster","City","48085","TX","Texas","33.3649","-96.4598","1006"
"Westlake","Westlake","City","48439","TX","Texas","32.9809","-97.2041","1374"
"Western Lake","Western Lake","City","48367","TX","Texas","32.6215","-97.816","1192"
"Westdale","Westdale","City","48249","TX","Texas","27.9657","-97.9937","82"
"Westbrook","Westbrook","City","48335","TX","Texas","32.3571","-101.0133","282"
"West University Place","West University Place","City","48201","TX","Texas","29.7157","-95.4321","14975"
"West Tawakoni","West Tawakoni","City","48231","TX","Texas","32.8976","-96.0218","1940"
"West Sharyland","West Sharyland","City","48215","TX","Texas","26.2719","-98.3404","1428"
"West Orange","West Orange","City","48361","TX","Texas","30.0791","-93.7598","3474"
"West Odessa","West Odessa","City","48135","TX","Texas","31.8389","-102.5003","31927"
"West Livingston","West Livingston","City","48373","TX","Texas","30.6957","-95.0097","7295"
"West Lake Hills","West Lake Hills","City","48453","TX","Texas","30.292","-97.8083","3373"
"West Columbia","West Columbia","City","48039","TX","Texas","29.1422","-95.6491","3674"
"West Alto Bonito","West Alto Bonito","City","48427","TX","Texas","26.3144","-98.6632","493"
"West","West","City","48309","TX","Texas","31.8032","-97.0941","2557"
"Weslaco","Weslaco","City","48215","TX","Texas","26.1599","-97.9877","40393"
"Wells Branch","Wells Branch","City","48453","TX","Texas","30.4433","-97.679","13837"
"Wells","Wells","City","48073","TX","Texas","31.4916","-94.9473","847"
"Wellman","Wellman","City","48445","TX","Texas","33.047","-102.4275","257"
"Wellington","Wellington","City","48087","TX","Texas","34.8538","-100.214","2099"
"Welch","Welch","City","48115","TX","Texas","32.9306","-102.1256","210"
"Weir","Weir","City","48491","TX","Texas","30.6759","-97.593","370"
"Weinert","Weinert","City","48207","TX","Texas","33.3234","-99.6736","192"
"Weimar","Weimar","City","48089","TX","Texas","29.7","-96.7773","2688"
"Webster","Webster","City","48201","TX","Texas","29.5317","-95.1188","12280"
"Webberville","Webberville","City","48453","TX","Texas","30.226","-97.4995","477"
"Weatherford","Weatherford","City","48367","TX","Texas","32.7536","-97.7723","30385"
"Waxahachie","Waxahachie","City","48139","TX","Texas","32.4035","-96.8446","39815"
"Watauga","Watauga","City","48439","TX","Texas","32.8719","-97.2515","23649"
"Waskom","Waskom","City","48203","TX","Texas","32.4766","-94.0646","1818"
"Washburn","Washburn","City","48011","TX","Texas","35.1692","-101.57","227"
"Warren City","Warren City","City","48183","TX","Texas","32.553","-94.9056","323"
"Warren","Warren","City","48457","TX","Texas","30.6127","-94.4105","847"
"Walnut Springs","Walnut Springs","City","48035","TX","Texas","32.0562","-97.7507","785"
"Wallis","Wallis","City","48015","TX","Texas","29.6317","-96.0638","1568"
"Waller","Waller","City","48473","TX","Texas","30.0665","-95.9278","3337"
"Wake Village","Wake Village","City","48037","TX","Texas","33.4238","-94.127","5907"
"Waka","Waka","City","48357","TX","Texas","36.2816","-101.0441","114"
"Waelder","Waelder","City","48177","TX","Texas","29.6943","-97.2972","1026"
"Wadsworth","Wadsworth","City","48321","TX","Texas","28.8224","-95.9276","507"
"Waco","Waco","City","48309","TX","Texas","31.5599","-97.1882","187172"
"Von Ormy","Von Ormy","City","48029","TX","Texas","29.2803","-98.6556","1165"
"Volente","Volente","City","48453","TX","Texas","30.4454","-97.908","802"
"Vinton","Vinton","City","48141","TX","Texas","31.9596","-106.5935","2673"
"Villarreal","Villarreal","City","48427","TX","Texas","26.3072","-98.6443","17"
"Villa del Sol","Villa del Sol","City","48061","TX","Texas","26.1915","-97.5782","451"
"Villa Verde","Villa Verde","City","48215","TX","Texas","26.1303","-97.9956","74"
"Villa Pancho","Villa Pancho","City","48061","TX","Texas","25.8844","-97.4157","343"
"Vidor","Vidor","City","48361","TX","Texas","30.1291","-93.9967","9944"
"Victoria Vera","Victoria Vera","City","48427","TX","Texas","26.3182","-98.6929","34"
"Victoria","Victoria","City","48469","TX","Texas","28.8287","-96.9849","65643"
"Vernon","Vernon","City","48487","TX","Texas","34.1479","-99.3","10206"
"Venus","Venus","City","48251","TX","Texas","32.4317","-97.1018","4140"
"Vega","Vega","City","48359","TX","Texas","35.2453","-102.4294","1118"
"Vanderbilt","Vanderbilt","City","48239","TX","Texas","28.8208","-96.6097","492"
"Van Vleck","Van Vleck","City","48321","TX","Texas","29.0278","-95.88","1054"
"Van Horn","Van Horn","City","48109","TX","Texas","31.0407","-104.8341","2060"
"Van Alstyne","Van Alstyne","City","48181","TX","Texas","33.4216","-96.5838","4386"
"Van","Van","City","48467","TX","Texas","32.5242","-95.6373","2666"
"Valley View","Valley View","City","48097","TX","Texas","33.4859","-97.1601","857"
"Valley Mills","Valley Mills","City","48035","TX","Texas","31.6582","-97.4715","1295"
"Valle Vista","Valle Vista","City","48427","TX","Texas","26.316","-98.6547","699"
"Valle Verde","Valle Verde","City","48479","TX","Texas","27.6797","-99.201","0"
"Valle Hermoso","Valle Hermoso","City","48427","TX","Texas","26.3823","-98.7871","0"
"Valera","Valera","City","48083","TX","Texas","31.7536","-99.5493","18"
"Valentine","Valentine","City","48243","TX","Texas","30.5886","-104.4953","80"
"Val Verde Park","Val Verde Park","City","48465","TX","Texas","29.3746","-100.8306","3740"
"Uvalde Estates","Uvalde Estates","City","48463","TX","Texas","29.1695","-99.8329","2388"
"Uvalde","Uvalde","City","48463","TX","Texas","29.2152","-99.7782","15374"
"Utopia","Utopia","City","48463","TX","Texas","29.6188","-99.5153","210"
"University Park","University Park","City","48113","TX","Texas","32.8506","-96.7937","25029"
"Universal City","Universal City","City","48029","TX","Texas","29.5521","-98.3074","19679"
"Union Valley","Union Valley","City","48231","TX","Texas","32.9351","-96.2441","521"
"Union Grove","Union Grove","City","48459","TX","Texas","32.5798","-94.9095","718"
"Uncertain","Uncertain","City","48203","TX","Texas","32.7064","-94.1269","87"
"Umbarger","Umbarger","City","48381","TX","Texas","34.9564","-102.1094","72"
"Uhland","Uhland","City","48209","TX","Texas","29.9627","-97.7952","1594"
"Tynan","Tynan","City","48025","TX","Texas","28.1708","-97.7492","268"
"Tyler","Tyler","City","48423","TX","Texas","32.3184","-95.3062","143895"
"Tye","Tye","City","48441","TX","Texas","32.4522","-99.8665","1211"
"Tuscola","Tuscola","City","48441","TX","Texas","32.2115","-99.7983","719"
